meter,timestamp,rmsle,file_id
0,2017-01-01,0.4668,13577404
0,2017-01-02,0.4653,13577404
0,2017-01-03,0.4863,13577404
0,2017-01-04,0.491,13577404
0,2017-01-05,0.4768,13577404
0,2017-01-06,0.4756,13577404
0,2017-01-07,0.471,13577404
0,2017-01-08,0.4521,13577404
0,2017-01-09,0.4768,13577404
0,2017-01-10,0.4841,13577404
0,2017-01-11,0.4702,13577404
0,2017-01-12,0.4792,13577404
0,2017-01-13,0.4736,13577404
0,2017-01-14,0.5483,13577404
0,2017-01-15,0.554,13577404
0,2017-01-16,0.614,13577404
0,2017-01-17,0.9663,13577404
0,2017-01-18,0.865,13577404
0,2017-01-19,0.876,13577404
0,2017-01-20,0.8726,13577404
0,2017-01-21,0.7827,13577404
0,2017-01-22,0.762,13577404
0,2017-01-23,0.8843,13577404
0,2017-01-24,0.89,13577404
0,2017-01-25,0.8623,13577404
0,2017-01-26,0.8643,13577404
0,2017-01-27,0.854,13577404
0,2017-01-28,0.766,13577404
0,2017-01-29,0.7617,13577404
0,2017-01-30,0.846,13577404
0,2017-01-31,0.8623,13577404
0,2017-02-01,0.857,13577404
0,2017-02-02,0.8594,13577404
0,2017-02-03,0.836,13577404
0,2017-02-04,0.4229,13577404
0,2017-02-05,0.4282,13577404
0,2017-02-06,0.4722,13577404
0,2017-02-07,0.4766,13577404
0,2017-02-08,0.4739,13577404
0,2017-02-09,0.4878,13577404
0,2017-02-10,0.4958,13577404
0,2017-02-11,0.4927,13577404
0,2017-02-12,0.4658,13577404
0,2017-02-13,0.4834,13577404
0,2017-02-14,0.4783,13577404
0,2017-02-15,0.469,13577404
0,2017-02-16,0.476,13577404
0,2017-02-17,0.4753,13577404
0,2017-02-18,0.4639,13577404
0,2017-02-19,0.4788,13577404
0,2017-02-20,0.5107,13577404
0,2017-02-21,0.4873,13577404
0,2017-02-22,0.4885,13577404
0,2017-02-23,0.4905,13577404
0,2017-02-24,0.4854,13577404
0,2017-02-25,0.495,13577404
0,2017-02-26,0.452,13577404
0,2017-02-27,0.5176,13577404
0,2017-02-28,0.5015,13577404
0,2017-03-01,0.523,13577404
0,2017-03-02,0.5234,13577404
0,2017-03-03,0.5054,13577404
0,2017-03-04,0.5024,13577404
0,2017-03-05,0.4966,13577404
0,2017-03-06,0.5264,13577404
0,2017-03-07,0.852,13577404
0,2017-03-08,0.8496,13577404
0,2017-03-09,0.84,13577404
0,2017-03-10,0.8423,13577404
0,2017-03-11,0.762,13577404
0,2017-03-12,0.7817,13577404
0,2017-03-13,0.864,13577404
0,2017-03-14,0.893,13577404
0,2017-03-15,0.886,13577404
0,2017-03-16,0.8784,13577404
0,2017-03-17,0.862,13577404
0,2017-03-18,0.774,13577404
0,2017-03-19,0.7754,13577404
0,2017-03-20,0.8765,13577404
0,2017-03-21,0.8857,13577404
0,2017-03-22,0.881,13577404
0,2017-03-23,0.853,13577404
0,2017-03-24,0.8735,13577404
0,2017-03-25,0.796,13577404
0,2017-03-26,0.7817,13577404
0,2017-03-27,0.8853,13577404
0,2017-03-28,0.888,13577404
0,2017-03-29,0.8794,13577404
0,2017-03-30,0.847,13577404
0,2017-03-31,0.8213,13577404
0,2017-04-01,1.166,13577404
0,2017-04-02,0.7476,13577404
0,2017-04-03,0.836,13577404
0,2017-04-04,0.593,13577404
0,2017-04-05,0.5723,13577404
